,track_id,artists,track_name,top_hit,track_genre,emotion
1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost - Acoustic,False,acoustic,love
2,1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,False,acoustic,approval
3,6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Can't Help Falling In Love,False,acoustic,love
4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,True,acoustic,love
5,01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,False,acoustic,love
6,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Say Something,False,acoustic,sadness
7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,I'm Yours,False,acoustic,approval
8,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,Lucky,False,acoustic,love
9,7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,False,acoustic,love
10,4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Give Me Your Forever,False,acoustic,love
11,5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,I Won't Give Up,False,acoustic,love
12,4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,False,acoustic,disappointment
13,0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,False,acoustic,disappointment
14,4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On - Remix,False,acoustic,love
15,1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,Falling in Love at a Coffee Shop,False,acoustic,love
16,6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),False,acoustic,love
17,4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,False,acoustic,love
18,2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,Lucky,False,acoustic,love
19,6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,Photograph,False,acoustic,love
20,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,I'm Yours,False,acoustic,approval
21,210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,Demons,False,acoustic,annoyance
22,5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Say Something,False,acoustic,sadness
23,0BUuuEvNa5T4lMaewyiudB,Jason Mraz,93 Million Miles,False,acoustic,admiration
24,3Hn3LfhrQOaKihdCibJsTs,Jason Mraz,Unlonely,False,acoustic,love
25,6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Bella Luna,False,acoustic,admiration
26,0dzKBptH2P5j5a0MifBMwM,Jason Mraz,If It Kills Me,False,acoustic,love
27,1m5LC29RE52Bxy7hxvpOlL,Chord Overstreet,All I Want For Christmas Is A Real Good Tan,False,acoustic,desire
28,3H36x7buZdQD4687VmFrwY,Brandi Carlile;Sam Smith,Party of One,False,acoustic,love
29,0xbMRcMFqxJq1Wa7tvWPtn,Brandi Carlile;Sam Smith,Party of One,False,acoustic,love
30,6h061f44HZPj1OXO2nA45d,Brandi Carlile;Sam Smith,Party of One,False,acoustic,love
31,62EwQLDw0dprDzuLwQ0sH1,KT Tunstall,Lonely This Christmas,False,acoustic,sadness
32,3lvo0I8c2qBJDLZWqExDgC,Brandi Carlile,Throwing Good After Bad,False,acoustic,admiration
33,1ae8XfBQ3fDEvmBjFaemGV,Brandi Carlile,This Time Tomorrow,False,acoustic,caring
34,0adVktNVJXPZfhQe6B1NO5,KT Tunstall,Lonely This Christmas,False,acoustic,sadness
